account_id,platform_id,occur_date,activity_type,time_spent,kills,deaths,suicides,money_earned,rp_earned,success,item,item_type,item_sub_type,money_spent
9041,PS4,2020-10-07,Biker,2.9668956731700367,0,0,0,0.0,298.20082582580284,0,Dinka Thrust,BIKE,MOTORCYCLE,29920.671030107453
4725,PS4,2020-09-15,Heist,0.9950665453645278,43,0,0,0.0,190.51719427759627,0,Combat Pistol,WEAPON,HAND GUNS,1161.719920528972
3501,PC,2020-09-04,Executive,0.1405087204051383,0,0,0,0.0,695.8019269268733,1,Buzzard Attack Chopper,HELICOPTER,HELICOPTER,0.0
1274,XBOX,2020-09-14,Heist,0.4624087946717562,3,0,0,0.0,24.850068818816904,0,Annis Elegy RH8,CAR,SPORT,0.0
4385,XBOX,2020-10-03,Race,0.4818692524478679,0,0,0,249.4454791401744,149.10041291290142,1,Paleto Bay Arcade,PROPERTY,ARCADE,492693.7162957694
8853,PS4,2020-09-26,Heist,3.31756220584883,0,0,0,987.388354929857,290.9114723056166,0,Warehouse Technician 2,PROPERTY,WAREHOUSE TECHNICIAN,56250.86153660202
5553,XBOX,2020-11-15,Heist,2.0049513565502437,19,0,0,0.0,497.00137637633816,0,Grenade Launcher,WEAPON,HEAVY WEAPON,12796.472586156357
5490,PS4,2020-11-18,Heist,4.107177981073275,0,0,0,0.0,331.33425091755873,0,Assault Shotgun,WEAPON,SHOTGUNS,3829.845891853754
5130,PC,2020-11-01,Heist,3.880780603229719,0,0,0,532.6700335805808,394.2877585918949,0,Karin Kuruma (Armored),CAR,SPORT,209444.69721075217
3090,XBOX,2020-11-07,Biker,3.966669260668136,0,0,0,0.0,0.0,0,Seminole Frontier,CAR,SUV,270482.8661121714
8399,XBOX,2020-10-01,Heist,0.3710565096822001,1,0,0,0.0,0.0,0,AP Pistol,WEAPON,HAND GUNS,1914.922945926877
4206,XBOX,2020-11-04,Casino,1.1900494158344272,23,0,0,202.6744518013917,210.3972493326498,0,Special Carbine,WEAPON,ASSAULT RIFLES,5825.355178421721
2731,XBOX,2020-10-25,Heist,3.046207441657184,0,0,0,86266.56153597697,1602.9951059391492,1,Elysian Island Nightclub,PROPERTY,NIGHTCLUB,258514.5977001284
5971,PC,2020-10-25,Heist,0.3566759825668896,0,0,0,0.0,33.133425091755875,0,,PROPERTY,CONTRABAND WAREHOUSE,359845.93692209234
7114,PS4,2020-11-16,Heist,1.5293833797943903,0,0,0,0.0,66.26685018351175,0,MG,WEAPON,MACHINE GUNS,5224.149161856762
4740,PS4,2020-10-14,Heist,1.4670569539316034,11,0,0,0.0,783.2741691691089,1,Oppressor Mk II,BIKE,MOTORCYCLE,1551985.2063316735
6508,PC,2020-11-03,Nightclub Owner,2.675069869251673,0,0,0,12361.582525640268,497.00137637633816,0,Del Perro Heights Apt 4,PROPERTY,HIGH END,186704.9872278705
1123,XBOX,2020-09-02,Biker,1.88605936236128,0,9,0,0.0,0.0,0,Combat PDW,WEAPON,MACHINE GUNS,4171.739426157782
6864,PC,2020-10-19,Biker,3.253317295534357,0,1,0,0.0,0.0,0,Enus Windsor,CAR,COUPE,0.0
8005,XBOX,2020-10-24,Heist,4.291217383896236,121,0,0,0.0,911.1691900232864,0,Heavy Revolver,WEAPON,HAND GUNS,2353.759454368453
3223,PC,2020-11-13,Heist,3.1365383363330253,0,0,0,332.59397218689924,329.3462454120534,0,Bravado Banshee and Topless,CAR,SPORT,0.0
3167,PC,2020-10-08,Heist,2.0986976939682407,71,0,0,0.0,1353.16908074731,1,HVY Insurgent Pick-Up,CAR,OFF ROAD,538572.0785419341
7847,XBOX,2020-10-25,Heist,4.685474044989947,21,0,0,260509.4254962042,1710.0160689855204,1,SNS Pistol,WEAPON,HAND GUNS,1053.2076202597823
5544,PS4,2020-11-29,Biker,3.59918491499316,0,0,0,1299.195203855075,331.33425091755873,0,Dinka Enduro,BIKE,MOTORCYCLE,19149.22945926877
7488,XBOX,2020-11-20,Heist,5.340406807524512,0,0,0,209820.0254225946,1037.0762053719588,1,Proximity Mine,WEAPON,PROJECTILES,394.9528575974184
4544,XBOX,2020-10-04,Heist,5.387969009381652,0,0,0,0.0,497.00137637633816,0,Annis Elegy RH8,CAR,SPORT,37899.516638136105
1248,PC,2020-09-20,Freeroam - Business Battles,3.0749793042509124,0,0,0,3247.988009637688,497.00137637633816,1,BeeJay XL,CAR,SUV,0.0
2890,XBOX,2020-10-11,Heist,4.9181024441653145,25,0,0,0.0,115.96698782114557,0,Battle Axe,WEAPON,MELEE,3638.3535972610666
3085,PS4,2020-11-04,Heist,3.3722092897233207,37,0,0,0.0,497.00137637633816,0,Maibatsu Manchez,BIKE,MOTORCYCLE,26729.132786895992
4231,PS4,2020-09-12,Biker,0.848456503984874,0,3,0,25522.94961877372,66.26685018351175,0,Advanced Rifle,WEAPON,ASSAULT RIFLES,5514.180199708603
242,XBOX,2020-10-14,Heist,3.4520830930920874,7,0,0,740.5412661973927,552.6655305304879,0,Unholy Hellbringer,WEAPON,MACHINE GUNS,105325.54933334303
8104,XBOX,2020-11-28,Heist,4.322091473114488,75,0,0,262276.3309734471,2021.4702648480256,1,HVY Insurgent Pick-Up,CAR,OFF ROAD,716300.8644607725
